;model;time;distance;cum_demand_mean;distance_mean;num_nodes_mean;cum_demand_std;distance_std;num_nodes_std;cum_demand_min;distance_min;num_nodes_min;cum_demand_max;distance_max;num_nodes_max;data_id;size
189;OR-Tools;0.348167;12.988520699999999;48.429;1.856;11.0;3.309;0.672;1.414;41.0;0.869;9.0;50.0;2.555;13.0;94;70
190;RL;0.107005;14.1752308011055;43.25;1.772;8.75;14.714;0.839;3.882;7.0;0.466;1.0;50.0;2.839;13.0;95;70
191;OR-Tools;0.335037;14.0515718;49.429;2.007;11.0;0.787;0.657;1.732;48.0;0.951;9.0;50.0;2.926;13.0;95;70
192;RL;0.131964;11.031835734844208;40.5;1.379;8.75;12.995;0.765;3.615;14.0;0.188;2.0;50.0;2.648;13.0;96;70
193;OR-Tools;0.39404;11.250159199999999;46.286;1.607;11.0;6.969;0.631;1.826;31.0;0.682;8.0;50.0;2.242;14.0;96;70
194;RL;0.117966;11.28516173362732;43.0;1.411;8.75;8.685;0.452;3.012;26.0;0.828;4.0;50.0;2.187;12.0;97;70
195;OR-Tools;0.319133;11.32363;49.143;1.618;11.0;1.864;0.446;2.0;45.0;0.785;8.0;50.0;2.235;14.0;97;70
196;RL;0.127;15.22003960609436;44.75;1.903;8.75;10.039;0.44;2.053;23.0;1.128;5.0;50.0;2.501;11.0;98;70
197;OR-Tools;0.414087;14.9067847;44.75;1.863;9.75;11.659;0.539;3.059;16.0;0.689;4.0;50.0;2.338;14.0;98;70
198;RL;0.116968;12.224778294563293;45.0;1.746;10.0;6.298;0.419;1.528;31.0;1.187;9.0;49.0;2.375;13.0;99;70
199;OR-Tools;0.403134;12.562106100000001;45.0;1.795;11.0;11.489;0.791;3.109;19.0;0.568;5.0;50.0;2.802;15.0;99;70
0;RL;0.144965;15.294912993907928;43.778;1.699;8.889;14.325;0.619;3.516;6.0;0.701;1.0;50.0;2.502;13.0;0;80
1;OR-Tools;0.523888;15.3891981;49.25;1.924;11.0;1.753;0.642;2.0;45.0;0.878;8.0;50.0;2.889;13.0;0;80
2;RL;0.124962;12.246956020593643;43.444;1.361;8.889;13.371;0.584;3.219;8.0;0.098;1.0;50.0;1.996;11.0;1;80
3;OR-Tools;0.756079;12.3427115;48.875;1.543;11.0;0.641;0.566;2.07;48.0;0.709;9.0;50.0;2.376;14.0;1;80
4;RL;0.15096;14.835080623626709;43.889;1.648;8.889;6.547;0.445;2.315;32.0;1.018;6.0;50.0;2.223;13.0;2;80
5;OR-Tools;0.452309;14.670406;49.375;1.834;11.0;0.744;0.391;1.852;48.0;1.215;8.0;50.0;2.475;13.0;2;80
6;RL;0.127042;11.496253788471222;41.889;1.277;8.889;11.868;0.401;3.018;14.0;0.654;2.0;50.0;1.899;12.0;3;80
7;OR-Tools;0.439064;11.1190705;47.125;1.39;11.0;3.227;0.248;1.195;41.0;1.115;9.0;50.0;1.899;13.0;3;80
8;RL;0.109957;15.051507323980331;45.556;1.672;8.889;9.396;0.625;2.848;21.0;0.35;3.0;50.0;2.422;12.0;4;80
9;OR-Tools;0.524654;15.4393025;45.556;1.715;9.889;10.088;0.63;2.088;19.0;0.323;5.0;50.0;2.487;12.0;4;80
10;RL;0.121965;14.113245099782944;42.7;1.411;8.0;13.679;0.562;3.197;6.0;0.262;1.0;50.0;2.068;13.0;5;80
11;OR-Tools;0.419086;14.738966699999999;47.444;1.638;9.889;3.321;0.421;1.833;40.0;0.976;7.0;50.0;2.191;12.0;5;80
12;RL;0.152962;16.04999840259552;46.667;1.783;8.889;4.472;0.504;2.147;37.0;1.13;6.0;50.0;2.39;13.0;6;80
13;OR-Tools;0.530039;16.1988244;46.667;1.8;9.889;6.745;0.672;2.421;29.0;0.662;6.0;50.0;2.849;15.0;6;80
14;RL;0.132962;14.90022411942482;44.111;1.656;8.889;12.673;0.673;3.257;11.0;0.466;2.0;50.0;2.621;13.0;7;80
15;OR-Tools;0.71341;15.8861686;49.625;1.986;11.0;0.744;0.748;1.69;48.0;1.126;9.0;50.0;3.326;14.0;7;80
16;RL;0.130941;14.463679075241089;45.556;1.607;8.889;6.307;0.576;2.261;31.0;0.625;5.0;50.0;2.467;11.0;8;80
17;OR-Tools;0.507805;15.6255995;45.556;1.736;9.889;11.854;0.638;3.06;14.0;0.401;3.0;50.0;2.411;14.0;8;80
18;RL;0.136964;15.290155589580536;42.889;1.699;8.889;9.532;0.644;3.06;23.0;0.417;4.0;50.0;2.704;13.0;9;80
19;OR-Tools;0.510549;14.293671400000001;48.25;1.787;11.0;3.012;0.596;1.773;41.0;0.637;8.0;50.0;2.529;14.0;9;80
20;RL;0.119994;12.992839306592941;43.111;1.444;8.889;14.128;0.516;3.18;6.0;0.366;1.0;50.0;2.066;11.0;10;80
21;OR-Tools;0.359206;12.7426378;48.5;1.593;11.0;1.69;0.562;2.138;46.0;0.806;9.0;50.0;2.576;14.0;10;80
22;RL;0.120002;16.103893637657166;44.444;1.789;8.889;7.265;0.493;2.804;31.0;1.074;4.0;50.0;2.355;13.0;11;80
23;OR-Tools;0.697194;15.4103344;44.444;1.712;9.889;10.051;0.618;2.759;20.0;0.544;5.0;50.0;2.505;13.0;11;80
24;RL;0.135996;14.37964653968811;42.333;1.598;8.889;12.679;0.518;2.667;14.0;0.824;4.0;50.0;2.24;12.0;12;80
25;OR-Tools;0.402754;14.051212500000002;47.625;1.756;11.0;3.543;0.525;2.268;40.0;1.049;7.0;50.0;2.698;14.0;12;80
26;RL;0.114001;11.62660868652165;44.333;1.292;8.889;13.314;0.591;3.257;9.0;0.023;1.0;50.0;1.92;11.0;13;80
27;OR-Tools;0.490248;12.9975095;49.875;1.625;11.0;0.354;0.421;0.926;49.0;0.993;10.0;50.0;2.135;12.0;13;80
28;RL;0.121965;11.297046706080437;43.889;1.255;8.889;13.233;0.541;3.689;9.0;0.136;1.0;50.0;2.149;15.0;14;80
29;OR-Tools;0.387391;12.2748884;49.375;1.534;11.0;0.518;0.628;1.852;49.0;1.008;9.0;50.0;2.804;14.0;14;80
30;RL;0.129962;14.90817940235138;47.625;1.864;10.0;2.925;0.517;2.0;43.0;1.163;8.0;50.0;2.482;14.0;15;80
31;OR-Tools;0.455085;14.331146200000003;47.625;1.791;11.0;2.264;0.615;2.204;44.0;0.93;8.0;50.0;2.534;14.0;15;80
32;RL;0.126;11.990412592887878;44.889;1.332;8.889;10.252;0.434;2.848;18.0;0.584;3.0;50.0;1.879;12.0;16;80
33;OR-Tools;0.434115;11.8021949;44.889;1.311;9.889;11.667;0.561;3.06;14.0;0.161;3.0;50.0;1.844;14.0;16;80
34;RL;0.127551;11.817681193351746;45.75;1.477;10.0;4.528;0.349;2.268;40.0;1.016;7.0;50.0;2.018;14.0;17;80
35;OR-Tools;0.396;12.2766489;45.75;1.535;11.0;5.445;0.48;2.39;37.0;0.642;7.0;50.0;2.073;14.0;17;80
36;RL;0.130966;15.750182330608368;44.889;1.75;8.889;12.722;0.727;2.804;11.0;0.115;2.0;50.0;2.446;11.0;18;80
37;OR-Tools;0.519677;16.147705499999997;44.889;1.794;9.889;13.869;0.749;3.296;8.0;0.074;2.0;50.0;2.414;13.0;18;80
38;RL;0.124979;12.494536399841309;44.111;1.388;8.889;6.809;0.228;1.167;28.0;1.139;7.0;50.0;1.878;10.0;19;80
39;OR-Tools;0.349042;12.6748553;49.625;1.584;11.0;0.744;0.312;1.309;48.0;1.199;9.0;50.0;1.981;13.0;19;80
40;RL;0.139965;16.425078988075256;46.333;1.825;8.889;6.576;0.472;1.764;29.0;1.266;6.0;50.0;2.502;11.0;20;80
41;OR-Tools;0.373681;16.947825599999998;46.333;1.883;9.889;8.231;0.562;2.028;25.0;0.736;7.0;50.0;2.397;14.0;20;80
42;RL;0.128994;14.668824195861816;43.667;1.63;8.889;12.093;0.65;3.06;15.0;0.675;2.0;50.0;2.578;12.0;21;80
43;OR-Tools;0.454085;15.261010599999999;49.125;1.908;11.0;0.991;0.742;1.414;47.0;0.819;9.0;50.0;3.104;14.0;21;80
44;RL;0.147999;12.464902877807617;47.125;1.558;10.0;3.314;0.413;2.204;40.0;0.97;7.0;50.0;2.251;13.0;22;80
45;OR-Tools;0.4701;11.927608;47.125;1.491;11.0;5.842;0.445;1.852;34.0;0.801;8.0;50.0;2.134;13.0;22;80
46;RL;0.128963;16.582536220550537;45.0;1.843;8.889;9.014;0.6;1.167;26.0;0.663;6.0;50.0;2.558;10.0;23;80
47;OR-Tools;0.662038;15.706004000000002;45.0;1.745;9.889;12.903;0.731;3.1;11.0;0.124;3.0;50.0;2.475;14.0;23;80
48;RL;0.130965;13.30891239643097;42.333;1.479;8.889;10.84;0.487;2.619;24.0;0.528;5.0;50.0;2.186;12.0;24;80
49;OR-Tools;0.570015;12.5426614;47.625;1.568;11.0;3.462;0.441;1.512;42.0;0.928;9.0;50.0;2.348;14.0;24;80
50;RL;0.126567;14.90446674823761;46.0;1.656;8.889;5.612;0.6;1.616;36.0;0.76;6.0;50.0;2.417;11.0;25;80
51;OR-Tools;0.475131;15.6571524;46.0;1.74;9.889;7.632;0.783;2.088;26.0;0.562;5.0;50.0;2.925;12.0;25;80
52;RL;0.109964;13.351767539978027;45.667;1.484;8.889;7.483;0.399;1.9;26.0;0.794;5.0;50.0;1.971;11.0;26;80
53;OR-Tools;0.367509;13.3365815;45.667;1.482;9.889;8.789;0.558;2.934;23.0;0.472;4.0;50.0;2.083;14.0;26;80
54;RL;0.134866;14.714160859584808;42.4;1.471;8.0;13.761;0.486;2.582;9.0;0.668;2.0;50.0;2.324;11.0;27;80
55;OR-Tools;0.437;14.2554444;47.111;1.584;9.889;3.551;0.488;1.269;39.0;0.931;8.0;50.0;2.261;12.0;27;80
56;RL;0.135996;14.775494426488876;43.4;1.478;8.0;13.705;0.551;2.667;5.0;0.329;1.0;50.0;2.273;10.0;28;80
57;OR-Tools;0.376876;14.663805100000001;48.222;1.629;9.889;3.866;0.548;1.167;38.0;0.968;7.0;50.0;2.36;11.0;28;80
58;RL;0.125969;12.132242023944855;45.333;1.348;8.889;7.246;0.337;2.028;27.0;0.849;5.0;50.0;1.907;12.0;29;80
59;OR-Tools;0.441451;12.155463300000001;45.333;1.351;9.889;4.528;0.376;1.764;36.0;0.729;8.0;50.0;1.937;13.0;29;80
60;RL;0.143139;14.74405762553215;41.667;1.638;8.889;15.362;0.751;3.48;10.0;0.147;2.0;50.0;2.574;12.0;30;80
61;OR-Tools;0.871525;14.7401699;46.875;1.843;11.0;6.49;0.586;2.204;31.0;0.814;6.0;50.0;2.587;13.0;30;80
62;RL;0.129;12.19996440410614;43.5;1.525;10.0;9.971;0.438;1.852;22.0;1.016;7.0;50.0;2.254;12.0;31;80
63;OR-Tools;0.432037;13.8085208;49.714;1.973;12.429;0.756;0.737;3.457;48.0;1.099;9.0;50.0;3.165;19.0;31;80
64;RL;0.119521;14.806324779987335;43.889;1.645;8.889;12.434;0.728;3.06;11.0;0.366;2.0;50.0;2.461;12.0;32;80
65;OR-Tools;0.406085;14.9738918;49.375;1.872;11.0;1.188;0.649;1.414;47.0;0.747;8.0;50.0;2.597;12.0;32;80
66;RL;0.124998;14.178600430488586;46.222;1.575;8.889;9.176;0.483;2.892;22.0;0.568;3.0;50.0;2.278;13.0;33;80
67;OR-Tools;0.467041;14.345595399999999;46.222;1.594;9.889;4.893;0.657;1.616;36.0;0.799;7.0;50.0;2.911;13.0;33;80
68;RL;0.135961;11.258992791175842;44.625;1.407;10.0;7.909;0.19;2.619;27.0;1.116;4.0;50.0;1.661;12.0;34;80
69;OR-Tools;0.417039;11.284871599999999;44.625;1.411;11.0;9.471;0.36;2.928;22.0;0.839;6.0;50.0;1.971;15.0;34;80
70;RL;0.116963;17.560040459036827;44.4;1.756;8.0;14.23;0.726;2.944;4.0;0.207;1.0;50.0;2.61;11.0;35;80
71;OR-Tools;0.298038;18.0334501;49.333;2.004;9.889;1.118;0.551;1.269;47.0;1.334;8.0;50.0;2.787;12.0;35;80
72;RL;0.124953;14.382212221622467;46.667;1.598;8.889;5.477;0.53;2.261;33.0;0.634;5.0;50.0;2.373;13.0;36;80
73;OR-Tools;0.443627;14.335021999999999;46.667;1.593;9.889;5.362;0.541;2.147;34.0;0.841;7.0;50.0;2.495;14.0;36;80
74;RL;0.129234;13.682420194149017;47.875;1.71;10.0;3.227;0.515;2.673;40.0;0.717;5.0;50.0;2.431;13.0;37;80
75;OR-Tools;0.460282;14.3341069;47.875;1.792;11.0;2.997;0.544;2.07;41.0;0.76;8.0;50.0;2.464;13.0;37;80
76;RL;0.134644;12.183212280273438;45.333;1.354;8.889;6.164;0.315;1.054;33.0;0.938;8.0;50.0;1.818;11.0;38;80
77;OR-Tools;0.507231;11.847123600000002;45.333;1.316;9.889;5.408;0.344;1.9;34.0;0.849;7.0;50.0;1.82;13.0;38;80
78;RL;0.128959;14.25205534696579;44.556;1.584;8.889;9.901;0.68;3.219;19.0;0.75;3.0;50.0;2.618;13.0;39;80
79;OR-Tools;0.363089;14.1931331;44.556;1.577;9.889;6.405;0.649;2.472;33.0;0.592;6.0;50.0;2.433;13.0;39;80
80;RL;0.132996;12.04320514202118;43.0;1.338;8.889;10.452;0.545;2.147;23.0;0.646;6.0;50.0;2.234;12.0;40;80
81;OR-Tools;0.301973;12.3826843;48.375;1.548;11.0;2.669;0.696;1.927;42.0;1.017;9.0;50.0;3.008;15.0;40;80
82;RL;0.134974;14.958451181650162;43.778;1.662;8.889;15.328;0.731;3.48;3.0;0.267;1.0;50.0;2.529;13.0;41;80
83;OR-Tools;0.569032;15.9164773;49.25;1.99;11.0;1.389;0.633;1.852;46.0;1.065;8.0;50.0;2.745;13.0;41;80
84;RL;0.130001;15.342044115066528;43.111;1.705;8.889;10.799;0.525;2.892;19.0;0.802;4.0;50.0;2.437;13.0;42;80
85;OR-Tools;0.464243;15.622584399999997;48.5;1.953;11.0;1.773;0.601;2.33;46.0;1.272;9.0;50.0;2.963;15.0;42;80
86;RL;0.109961;12.147152304649353;46.625;1.518;10.0;4.241;0.348;1.852;39.0;0.822;7.0;50.0;1.956;13.0;43;80
87;OR-Tools;0.3706;12.393108999999999;46.625;1.549;11.0;7.558;0.435;3.251;28.0;0.994;5.0;50.0;2.153;16.0;43;80
88;RL;0.12498;13.189343571662903;43.444;1.465;8.889;11.98;0.424;2.421;12.0;0.75;3.0;50.0;2.031;11.0;44;80
89;OR-Tools;0.458551;12.902500499999999;48.875;1.613;11.0;2.031;0.503;2.204;44.0;0.98;9.0;50.0;2.457;14.0;44;80
90;RL;0.110998;12.55578088760376;44.222;1.395;8.889;8.511;0.492;2.421;23.0;0.593;4.0;50.0;2.17;12.0;45;80
91;OR-Tools;0.378039;13.1392717;49.75;1.642;11.0;0.463;0.531;2.777;49.0;0.796;7.0;50.0;2.196;15.0;45;80
92;RL;0.129994;15.923792362213135;44.556;1.769;8.889;11.159;0.705;3.333;17.0;0.271;2.0;50.0;2.33;13.0;46;80
93;OR-Tools;0.397034;16.503075;44.556;1.834;9.889;10.818;0.677;3.257;17.0;0.271;3.0;50.0;2.395;13.0;46;80
94;RL;0.118996;13.530016303062439;43.889;1.503;8.889;8.192;0.491;2.261;29.0;0.946;6.0;50.0;2.255;12.0;47;80
95;OR-Tools;0.514038;14.400178799999999;49.375;1.8;11.0;0.916;0.618;2.138;48.0;0.911;9.0;50.0;2.681;15.0;47;80
96;RL;0.13296;15.637157142162323;45.0;1.564;8.0;11.096;0.544;2.582;14.0;0.813;2.0;50.0;2.448;12.0;48;80
97;OR-Tools;0.5635;15.928072199999999;45.0;1.593;9.0;13.038;0.682;2.944;8.0;0.277;2.0;50.0;2.366;13.0;48;80
98;RL;0.136964;12.759877443313599;43.556;1.418;8.889;14.833;0.605;3.551;5.0;0.283;1.0;50.0;2.396;14.0;49;80
99;OR-Tools;0.48504;13.699806599999999;49.0;1.712;11.0;1.773;0.501;2.138;45.0;1.002;8.0;50.0;2.509;15.0;49;80
100;RL;0.124994;16.288592636585236;47.222;1.81;8.889;4.684;0.528;2.028;35.0;0.865;5.0;50.0;2.58;11.0;50;80
101;OR-Tools;0.425056;16.513052000000002;47.222;1.835;9.889;4.236;0.465;1.537;38.0;1.059;8.0;50.0;2.35;13.0;50;80
102;RL;0.127005;11.268518924713135;41.444;1.252;8.889;13.584;0.349;3.296;7.0;0.625;1.0;50.0;1.764;12.0;51;80
103;OR-Tools;0.356034;11.2662874;46.625;1.408;11.0;3.021;0.324;2.0;41.0;0.901;8.0;50.0;1.87;14.0;51;80
104;RL;0.127965;14.130900979042053;43.667;1.57;8.889;10.63;0.503;2.261;18.0;0.989;4.0;50.0;2.281;11.0;52;80
105;OR-Tools;0.557031;14.298052299999998;49.125;1.787;11.0;1.458;0.602;2.0;46.0;1.299;9.0;50.0;3.045;14.0;52;80
106;RL;0.146994;11.719024181365967;46.375;1.465;10.0;4.373;0.171;1.773;36.0;1.206;8.0;50.0;1.701;12.0;53;80
107;OR-Tools;0.574999;11.841824;46.375;1.48;11.0;6.209;0.274;2.0;32.0;1.059;7.0;50.0;2.055;13.0;53;80
108;RL;0.158965;13.793702870607376;41.667;1.533;8.889;14.457;0.571;3.551;7.0;0.167;1.0;50.0;2.154;12.0;54;80
109;OR-Tools;0.485438;13.1998002;46.875;1.65;11.0;3.563;0.373;1.604;41.0;1.194;9.0;50.0;2.227;13.0;54;80
110;RL;0.141;17.687484681606293;41.4;1.769;8.0;16.284;0.694;3.162;5.0;0.385;1.0;50.0;2.644;11.0;55;80
111;OR-Tools;0.420033;17.2493734;46.0;1.917;9.889;5.916;0.595;1.453;31.0;0.924;8.0;50.0;2.592;13.0;55;80
112;RL;0.149995;12.709746539592743;46.333;1.412;8.889;6.519;0.47;2.205;30.0;0.913;5.0;50.0;2.35;12.0;56;80
113;OR-Tools;0.618656;12.907896200000001;46.333;1.434;9.889;6.423;0.538;1.965;30.0;0.646;6.0;50.0;2.084;12.0;56;80
114;RL;0.160965;14.348001420497894;43.7;1.435;8.0;8.994;0.537;1.491;23.0;0.694;5.0;50.0;2.25;10.0;57;80
115;OR-Tools;0.563629;14.019700599999998;48.556;1.558;9.889;2.007;0.567;1.364;44.0;0.64;8.0;50.0;2.335;12.0;57;80
116;RL;0.141002;15.858839273452759;45.0;1.762;8.889;9.605;0.664;2.421;22.0;0.718;4.0;50.0;2.535;12.0;58;80
117;OR-Tools;0.42016;16.3225802;45.0;1.814;9.889;9.381;0.781;2.421;23.0;0.395;6.0;50.0;2.667;13.0;58;80
118;RL;0.111009;13.878571569919586;47.125;1.735;10.0;4.704;0.612;1.512;36.0;0.744;7.0;50.0;2.272;12.0;59;80
119;OR-Tools;0.353063;14.1440312;47.125;1.768;11.0;4.734;0.722;2.07;37.0;0.734;8.0;50.0;2.71;13.0;59;80
120;RL;0.129474;12.306000709533691;40.3;1.231;8.0;12.526;0.578;3.162;11.0;0.312;2.0;49.0;2.115;12.0;60;80
121;OR-Tools;0.406036;12.1767327;44.778;1.353;9.889;4.116;0.452;2.619;38.0;0.851;7.0;50.0;2.049;14.0;60;80
122;RL;0.137959;14.336928248405457;45.2;1.434;8.0;9.39;0.489;2.108;19.0;0.592;3.0;50.0;2.124;11.0;61;80
123;OR-Tools;0.556239;14.763326200000002;45.2;1.476;9.0;13.139;0.614;2.625;8.0;0.126;2.0;50.0;2.137;11.0;61;80
124;RL;0.131019;14.425971180200577;43.0;1.603;8.889;15.305;0.686;3.257;4.0;0.183;1.0;50.0;2.371;12.0;62;80
125;OR-Tools;0.427036;15.052426100000002;48.375;1.882;11.0;2.446;0.39;1.604;43.0;1.19;9.0;50.0;2.334;13.0;62;80
126;RL;0.127963;13.791943907737732;45.889;1.532;8.889;7.541;0.387;1.691;26.0;1.04;6.0;50.0;2.1;11.0;63;80
127;OR-Tools;0.435999;13.820096699999997;45.889;1.536;9.889;6.412;0.488;2.088;30.0;0.693;7.0;50.0;2.249;14.0;63;80
128;RL;0.123995;13.681471854448318;44.2;1.368;8.0;8.297;0.464;2.309;24.0;0.302;3.0;50.0;1.853;11.0;64;80
129;OR-Tools;0.51204;14.1935396;49.111;1.577;9.889;1.537;0.409;1.537;46.0;0.829;8.0;50.0;2.123;13.0;64;80
130;RL;0.118961;11.833932042121887;45.111;1.315;8.889;7.623;0.326;1.965;26.0;0.901;4.0;50.0;1.794;11.0;65;80
131;OR-Tools;0.329448;12.426756899999999;45.111;1.381;9.889;7.288;0.45;1.764;28.0;0.612;6.0;50.0;2.031;12.0;65;80
132;RL;0.134998;15.582205384969711;44.111;1.731;8.889;13.242;0.716;3.296;9.0;0.233;1.0;50.0;2.614;12.0;66;80
133;OR-Tools;0.382001;15.775654200000002;49.625;1.972;11.0;1.061;0.769;1.309;47.0;0.949;10.0;50.0;3.206;14.0;66;80
134;RL;0.121014;15.551515012979507;42.111;1.728;8.889;14.633;0.773;3.655;13.0;0.362;3.0;50.0;2.597;13.0;67;80
135;OR-Tools;0.695982;15.176461999999999;47.375;1.897;11.0;4.897;0.685;2.507;36.0;0.864;6.0;50.0;2.58;15.0;67;80
136;RL;0.112006;13.027998924255371;44.667;1.448;8.889;12.298;0.381;2.804;12.0;0.665;2.0;50.0;1.965;12.0;68;80
137;OR-Tools;0.391038;13.040963300000001;44.667;1.449;9.889;12.777;0.634;3.018;11.0;0.275;3.0;50.0;2.667;13.0;68;80
138;RL;0.12399;13.52934467792511;45.1;1.353;8.0;5.384;0.399;1.7;33.0;0.609;5.0;50.0;1.987;11.0;69;80
139;OR-Tools;0.496;13.2864422;45.1;1.329;9.0;7.549;0.46;2.108;31.0;0.748;5.0;50.0;2.116;12.0;69;80
140;RL;0.123;14.851168274879456;45.75;1.856;10.0;10.82;0.599;2.726;19.0;0.599;4.0;50.0;2.714;13.0;70;80
141;OR-Tools;0.489039;14.5364345;45.75;1.817;11.0;10.82;0.632;2.928;19.0;0.63;6.0;50.0;2.836;15.0;70;80
142;RL;0.131979;12.766773045063019;44.667;1.419;8.889;5.612;0.365;1.167;34.0;0.901;7.0;50.0;1.96;11.0;71;80
143;OR-Tools;0.513042;12.9636832;44.667;1.44;9.889;8.246;0.501;2.571;25.0;0.768;5.0;50.0;2.164;13.0;71;80
144;RL;0.128963;12.968254685401917;45.111;1.441;8.889;9.545;0.559;2.934;20.0;0.416;3.0;50.0;2.126;13.0;72;80
145;OR-Tools;0.426037;13.8736841;45.111;1.542;9.889;10.982;0.686;2.522;16.0;0.156;4.0;50.0;2.682;13.0;72;80
146;RL;0.121988;18.00650918483734;47.889;2.001;8.889;4.167;0.396;1.269;37.0;1.451;6.0;50.0;2.628;10.0;73;80
147;OR-Tools;0.513034;17.206865399999998;47.889;1.912;9.889;2.892;0.579;1.269;42.0;1.027;8.0;50.0;2.574;12.0;73;80
148;RL;0.125963;17.236723959445953;45.667;1.915;8.889;10.452;0.614;2.472;18.0;0.725;3.0;50.0;2.756;11.0;74;80
149;OR-Tools;0.531006;17.0941939;45.667;1.899;9.889;6.652;0.608;2.147;31.0;0.801;5.0;50.0;2.661;12.0;74;80
150;RL;0.123963;14.08466649055481;41.556;1.565;8.889;12.895;0.633;3.444;19.0;0.552;3.0;50.0;2.471;15.0;75;80
151;OR-Tools;0.487031;14.0176568;46.75;1.752;11.0;8.795;0.54;2.928;25.0;0.728;6.0;50.0;2.312;16.0;75;80
152;RL;0.128997;14.917904257774353;44.222;1.658;8.889;10.097;0.566;2.261;21.0;0.668;4.0;50.0;2.498;12.0;76;80
153;OR-Tools;0.456673;15.5240387;49.75;1.941;11.0;0.463;0.596;2.726;49.0;1.178;8.0;50.0;2.94;15.0;76;80
154;RL;0.143795;16.45991885662079;41.889;1.829;8.889;14.895;0.671;4.045;6.0;0.531;1.0;50.0;2.589;15.0;77;80
155;OR-Tools;0.470003;15.407108399999998;47.125;1.926;11.0;6.937;0.71;2.726;30.0;0.499;6.0;50.0;2.802;15.0;77;80
156;RL;0.127963;14.741304099559784;40.556;1.638;8.889;16.055;0.737;4.045;4.0;0.181;1.0;50.0;2.386;14.0;78;80
157;OR-Tools;0.475998;13.914120299999999;45.625;1.739;11.0;6.391;0.603;2.563;32.0;0.816;7.0;50.0;2.454;14.0;78;80
158;RL;0.128966;13.036134243011475;46.111;1.448;8.889;5.732;0.447;1.537;34.0;0.64;6.0;50.0;2.0;11.0;79;80
159;OR-Tools;0.439612;13.422228700000002;46.111;1.491;9.889;4.729;0.515;1.453;34.0;0.622;7.0;50.0;2.274;12.0;79;80
160;RL;0.143987;12.761877089738846;42.4;1.276;8.0;12.98;0.441;2.944;6.0;0.361;1.0;50.0;1.799;12.0;80;80
161;OR-Tools;0.387116;12.376876500000002;47.111;1.375;9.889;4.256;0.366;2.619;37.0;0.63;7.0;50.0;1.83;15.0;80;80
162;RL;0.132959;12.559320986270905;45.556;1.395;8.889;7.907;0.603;2.977;25.0;0.271;4.0;50.0;2.279;15.0;81;80
163;OR-Tools;0.585053;13.2111185;45.556;1.468;9.889;9.126;0.653;2.472;22.0;0.224;4.0;50.0;2.408;13.0;81;80
164;RL;0.117978;11.961538910865784;43.0;1.329;8.889;10.416;0.373;2.619;18.0;0.505;3.0;49.0;1.68;12.0;82;80
165;OR-Tools;0.368035;12.140774799999999;48.375;1.518;11.0;2.2;0.443;1.309;44.0;0.948;9.0;50.0;2.406;13.0;82;80
166;RL;0.125977;14.666812062263489;44.778;1.63;8.889;12.367;0.643;2.848;12.0;0.603;2.0;50.0;2.574;11.0;83;80
167;OR-Tools;0.610693;15.036722600000001;44.778;1.671;9.889;6.87;0.697;1.691;30.0;0.695;6.0;50.0;2.657;11.0;83;80
168;RL;0.161994;15.364086031913757;42.444;1.707;8.889;11.577;0.649;3.257;15.0;0.387;2.0;50.0;2.524;13.0;84;80
169;OR-Tools;0.622533;14.260618899999999;47.75;1.783;11.0;2.053;0.539;2.726;44.0;0.75;7.0;50.0;2.628;14.0;84;80
170;RL;0.131967;11.120538055896759;41.222;1.236;8.889;13.953;0.639;4.226;9.0;0.083;1.0;50.0;1.797;15.0;85;80
171;OR-Tools;0.436073;11.2757191;46.375;1.409;11.0;4.47;0.46;2.39;37.0;0.452;6.0;50.0;1.949;14.0;85;80
172;RL;0.147966;16.669070839881897;45.1;1.667;8.0;4.977;0.532;2.539;37.0;0.881;5.0;50.0;2.521;13.0;86;80
173;OR-Tools;0.631189;16.4972471;45.1;1.65;9.0;13.051;0.725;2.906;8.0;0.18;2.0;50.0;2.527;12.0;86;80
174;RL;0.134968;14.318879216909409;43.778;1.591;8.889;13.47;0.679;3.18;8.0;0.213;1.0;50.0;2.27;12.0;87;80
175;OR-Tools;0.289992;14.6774392;49.25;1.835;11.0;0.886;0.58;1.069;48.0;1.059;9.0;50.0;2.622;12.0;87;80
176;RL;0.129996;14.726797640323639;42.556;1.636;8.889;12.381;0.592;2.934;14.0;0.671;2.0;50.0;2.378;11.0;88;80
177;OR-Tools;0.517042;14.4466818;47.875;1.806;11.0;2.532;0.415;0.756;43.0;1.154;10.0;50.0;2.244;12.0;88;80
178;RL;0.119478;15.570590317249298;43.7;1.557;8.0;8.769;0.491;1.826;24.0;0.755;5.0;50.0;2.541;11.0;89;80
179;OR-Tools;0.49305;15.183224099999999;48.556;1.687;9.889;2.186;0.415;1.537;44.0;1.049;9.0;50.0;2.484;13.0;89;80
180;RL;0.130002;12.051148533821106;48.0;1.506;10.0;2.204;0.448;1.852;43.0;0.914;8.0;50.0;2.159;13.0;90;80
181;OR-Tools;0.371049;12.367491000000001;48.0;1.546;11.0;2.33;0.531;2.449;44.0;0.781;8.0;50.0;2.488;15.0;90;80
182;RL;0.141015;14.164007127285004;45.875;1.771;10.0;8.887;0.609;3.251;24.0;0.556;4.0;50.0;2.369;14.0;91;80
