;model;time;distance;cum_demand_mean;distance_mean;num_nodes_mean;cum_demand_std;distance_std;num_nodes_std;cum_demand_min;distance_min;num_nodes_min;cum_demand_max;distance_max;num_nodes_max;data_id;size
43;OR-Tools;0.667981;16.8893153;47.909;1.535;10.091;2.737;0.676;2.023;42.0;0.536;8.0;50.0;2.922;14.0;21;100
44;RL;0.151963;16.337021559476852;44.727;1.485;9.091;10.277;0.56;2.879;14.0;0.345;2.0;50.0;2.301;13.0;22;100
45;OR-Tools;0.716108;17.533638699999997;49.2;1.753;11.0;0.919;0.552;1.491;48.0;0.969;9.0;50.0;2.849;13.0;22;100
46;RL;0.140965;18.980916559696198;45.25;1.582;8.333;9.077;0.542;1.826;20.0;0.546;6.0;50.0;2.377;11.0;23;100
47;OR-Tools;0.702084;19.275275;49.364;1.752;10.091;0.809;0.551;1.514;48.0;0.937;9.0;50.0;2.427;13.0;23;100
48;RL;0.139013;16.642143175005913;45.364;1.513;9.091;12.102;0.593;3.048;9.0;0.104;1.0;50.0;2.159;12.0;24;100
49;OR-Tools;0.746038;17.204011599999998;45.364;1.564;10.091;12.11;0.616;3.448;9.0;0.104;2.0;50.0;2.239;15.0;24;100
50;RL;0.156964;16.33321315050125;46.909;1.485;9.091;3.961;0.434;1.514;36.0;0.778;7.0;50.0;2.158;12.0;25;100
51;OR-Tools;0.621036;16.5699294;46.909;1.506;10.091;6.685;0.451;1.921;27.0;0.854;6.0;50.0;2.237;13.0;25;100
52;RL;0.15499;13.665040165185928;43.455;1.242;9.091;12.185;0.38;3.3;8.0;0.181;1.0;50.0;1.683;13.0;26;100
53;OR-Tools;0.711015;13.749762699999998;47.8;1.375;11.0;2.573;0.2;1.764;43.0;1.09;9.0;50.0;1.741;15.0;26;100
54;RL;0.166965;13.777840971946716;45.545;1.253;9.091;5.502;0.395;2.256;31.0;0.447;4.0;50.0;1.941;12.0;27;100
55;OR-Tools;0.624548;13.823247299999998;45.545;1.257;10.091;8.371;0.497;2.879;23.0;0.366;4.0;50.0;2.17;13.0;27;100
56;RL;0.150032;16.46123379468918;47.0;1.646;10.0;5.033;0.457;1.333;34.0;0.872;8.0;50.0;2.273;12.0;28;100
57;OR-Tools;0.674615;16.5905409;47.0;1.659;11.0;4.922;0.506;2.108;34.0;1.035;8.0;50.0;2.372;14.0;28;100
58;RL;0.140962;19.755119383335114;43.083;1.646;8.333;14.687;0.707;3.651;7.0;0.377;1.0;50.0;2.507;13.0;29;100
59;OR-Tools;0.78303;20.7940413;47.0;1.89;10.091;7.694;0.706;2.625;24.0;0.456;5.0;50.0;3.154;14.0;29;100
60;RL;0.151965;22.364884853363037;48.0;2.033;9.091;4.099;0.471;1.973;36.0;1.079;5.0;50.0;2.697;12.0;30;100
61;OR-Tools;0.52577;22.9489387;48.0;2.086;10.091;4.796;0.712;2.119;34.0;0.803;7.0;50.0;2.941;14.0;30;100
62;RL;0.158889;19.320205233991146;44.727;1.756;9.091;12.642;0.74;2.982;7.0;0.052;1.0;50.0;2.731;12.0;31;100
63;OR-Tools;0.528392;19.836530100000004;49.2;1.984;11.0;1.619;0.606;1.247;45.0;0.747;9.0;50.0;2.754;13.0;31;100
64;RL;0.144331;18.109994649887085;43.818;1.646;9.091;11.99;0.774;3.36;14.0;0.467;2.0;50.0;2.577;13.0;32;100
65;OR-Tools;0.669989;18.0818486;48.2;1.808;11.0;2.821;0.643;2.667;41.0;0.724;7.0;50.0;2.536;16.0;32;100
66;RL;0.139961;16.495638608932495;48.364;1.5;9.091;1.804;0.404;1.578;45.0;0.938;6.0;50.0;2.055;11.0;33;100
67;OR-Tools;0.468006;16.6851669;48.364;1.517;10.091;3.906;0.589;1.375;37.0;0.64;8.0;50.0;2.463;12.0;33;100
68;RL;0.152018;16.2396841943264;44.909;1.476;9.091;13.308;0.434;3.048;5.0;0.372;1.0;50.0;2.05;12.0;34;100
69;OR-Tools;0.570766;16.722491;49.4;1.672;11.0;1.35;0.376;2.16;46.0;1.032;7.0;50.0;2.15;14.0;34;100
70;RL;0.145962;19.620053935796022;44.364;1.784;9.091;12.979;0.859;3.506;6.0;0.052;1.0;50.0;2.65;13.0;35;100
71;OR-Tools;0.748037;20.244553;48.8;2.024;11.0;2.251;0.722;2.108;43.0;0.496;7.0;50.0;2.847;15.0;35;100
